,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF
4FGL J1250.9-4943,-11.347696,0.125546246767044,0.511008,302.8436279296875,13.151357650756836,17.210521697998047,unas,0.09750016853704838,0.062165835141551724,0.7818120504623245,0.05852194585907544
4FGL J1251.2+1039,-11.70733,0.1706316024065017,0.45321488,302.7985534667969,73.52530670166016,8.149824142456055,bll,0.24650080928483153,0.6614339678865818,0.05577964019896088,0.03628558262962569
4FGL J1251.3-0201,-11.304361,0.1531377434730529,0.099574566,302.8837585449219,60.84463882446289,21.211463928222656,bcu,0.19929877334621324,0.007008109305749056,0.3635567075678459,0.43013640978019185
4FGL J1252.7-2520,-11.558225,0.181910902261734,-0.76674557,303.29290771484375,37.5213623046875,4.595965385437012,unas,0.8502579684898034,0.014916437977135523,0.10215858153356157,0.03266701199949942
4FGL J1252.8-3321,-11.768089,0.1209319829940795,0.076384544,303.27813720703125,29.514379501342773,5.246361255645752,fsrq,0.45422392986983207,0.3642408810126751,0.07295390695349595,0.10858128216399698
4FGL J1253.2+5301,-10.49044,0.0883094295859336,0.1887753,122.3157958984375,64.10881042480469,101.98538970947266,bll,0.028765460925091593,0.11551216652711227,0.41872988340012474,0.43699248914767147
4FGL J1253.3-5816,-11.287708,0.4632889032363891,-0.44421625,303.1863098144531,4.587495803833008,8.465127944946289,psr,0.028882051809434085,1.1416112997163002e-06,0.6758362778816549,0.29528052869761134
4FGL J1253.5-3934,-11.93068,0.3243114352226257,1.3860898,303.3841857910156,23.3028564453125,7.530613422393799,bll,0.03650169492388715,0.96246055841563,0.0009638170811627314,7.392957932010583e-05
4FGL J1253.8+0327,-11.085543,0.0500021651387214,0.44409347,304.40716552734375,66.3156509399414,25.45078468322754,bll,0.006878118386057928,0.08627857833835942,0.8747823969531013,0.03206090632248122
4FGL J1253.8+6242,-11.336694,0.0834586024284362,0.789412,122.45342254638672,54.42079544067383,28.29541015625,bll,0.019977004122385785,0.14449058612363608,0.8338823174062103,0.0016500923477677488
4FGL J1253.8+2929,-12.040374,0.0278230234980583,0.66758466,110.33515167236328,87.57076263427734,4.507713317871094,bcu,0.20444618566055003,0.7768130214472979,0.018169698888621782,0.0005710940035304285
4FGL J1254.2-2205,-11.384067,0.0794251859188079,-0.1811986,303.77947998046875,40.779991149902344,11.727571487426758,bcu,0.3482364869167271,0.07915641168289243,0.29518943566870237,0.27741766573167814
4FGL J1254.5+2210,-11.251396,0.0420554131269454,0.49015617,311.2253723144531,85.00238800048828,22.53619384765625,bll,0.03396045529177878,0.0868241468990565,0.8604127139922628,0.01880268381690183
4FGL J1254.7-4516,-11.944237,0.5249376893043518,0.646894,303.53594970703125,17.593111038208008,7.968758583068848,unas,0.02275655147382727,0.0018431672766561409,0.00020174467078247239,0.9751985365787341
4FGL J1254.9-7141,-11.372309,0.1208395436406135,-0.7850776,303.20758056640625,-8.82320785522461,8.37578296661377,bcu,0.8824956397576857,0.003558162943246377,0.09799723248216896,0.015948964816899013
4FGL J1254.9+1138,-11.3894615,0.0993146300315857,-1.9192636,306.1361999511719,74.49949645996094,9.87279987335205,fsrq,0.8730176972696365,0.006737791864771678,0.12024450178131826,9.084273520350273e-09
4FGL J1256.1-5652,-11.182426,0.5480552315711975,-0.39961123,303.5741271972656,5.994119644165039,12.005705833435059,unk,0.0014395228668316962,2.101074764814313e-09,0.8398069712107914,0.1587535038213021
4FGL J1256.1-5919,-11.155159,0.0200043004006147,-0.31488895,303.531982421875,3.546478271484375,14.725992202758789,bcu,0.10989695277080669,0.020227439934552616,0.5156317874294136,0.3542438198652271
4FGL J1256.2-1146,-11.080546,0.0126121612265706,1.1762509,304.8077697753906,51.078712463378906,26.823055267333984,bll,7.020664292709862e-05,0.059434849454009966,0.9404931943393698,1.7495636930632067e-06
4FGL J1256.8+5329,-11.731281,0.1310678869485855,-0.63929415,121.1284408569336,63.62398910522461,5.274162769317627,unas,0.7864336746656441,0.08611443368296079,0.08311053808377798,0.04434135356761714
